Date,cityAccidente,countryAccidente,Operator,cityOrigen,cityDestino,Type,Aboard,Fatalities,Ground,latAccidente,lonAccidente,latDestino,lonDestino,latOrigen,lonOrigen
11/19/1990, Ashkhabad, Turkmenistan,Aeroflot,Adana,Wien,Mil Mi-8T,15,15,0,37.9396678,58.3874263,48.2083537,16.3725042,37.0033484,35.3263252
10/19/1990, Bella Vista, Bolivia,BAFIN,Douala,Malta,Douglas C-47B-40-DK,4,4,0,-46.4090626,-67.68285517,27.5015719,85.2451666,4.05372875,9.664306826
6/6/1990, Altamira, Brazil,TABA,Santa Cruz,Aspen,Fairchild FH-227B,42,23,0,43.3768445,-4.1197476,39.1911128,-106.8235606,36.9746099,-122.0294259
6/28/1989, Borana, Somalia,Somali Airlines,Cebu,Kunming,Fokker F-27 Friendship 600RF,30,30,0,27.6449988,72.1260621,25.0515153,102.7017638,10.45,123.84
5/5/1989, Cancun, Mexico,Aero Cozumel,Curitiba,Dalian,Britten Norman BN-2A Trislander II,19,6,0,21.1708906,-86.8403165,38.920716,121.6388678,-25.4295985,-49.2713192
1/31/1989, Abilene, Texas,Military - U.S. Air Force,Damascus,Al Kari,Boeing KC-135A,19,19,0,32.4464534,-99.7333478,48.2764997,-3.5711477,33.5130695,36.3095814
8/3/1988, Clarksville, Tennessee,Military - U.S. Army,Rio de Janeiro,Goose Bay,Sikorsky UH-60A / Sikorsky UH-60A,17,17,0,38.2967791,-85.7602087,44.36672,-75.8463441,-22.9110137,-43.2093727
6/5/1988, Broennoysund, Norway,Wideroe's Flyveselksap,Otis AFB,Karachi,de Havilland Canada DHC-7-102,36,36,0,65.4737042,12.2111915,24.8667795,67.0311286,41.65839515,-70.51227144
4/10/1988, Batagay, Russia,Aeroflot,Washington,Kinshasa,Antonov 12BP,6,6,0,67.6549095,134.6350713,-4.3217055,15.3125974,38.8949549,-77.0366456
3/17/1988, Cucuta, Colombia,AVIANCA,Hong Kong,New Plymouth,Boeing B-727-21,143,143,0,7.8971458,-72.5080387,-39.0579941,174.0806474,22.2793278,114.1628131
3/7/1988,  Bandar Abbas, Iran,Iran Air,Bandar Abbas,Dubai,Airbus A300B2-203,290,290,0,27.1781213,56.2766447,25.2683521,55.2961962,27.1781213,56.2766447
2/27/1988, Ercan, Cyprus,Talia Airways,Tehran,Juba,Boeing B-727-2H9A,15,15,0,52.1039199,9.3685531,4.8472017,31.5951655,35.6860984,51.4223608
1/18/1988, Chungking, China,China Southwest Airlines,Bima,Bole,Ilyushin IL-18D,108,108,0,22.29636555,114.1728539,44.9042025,82.0698186,-8.4535168,118.7276222
6/3/1987, Almaty, Kazakhstan,Aeroflot,Monterey,Montevideo,Antonov An-26,9,9,0,43.2362314,76.9457599,-34.9059039,-56.1913569,36.583431,-121.8540929
1/13/1987, Asmara, Ethiopia,Military - Ethiopian Air Force,Bucharest,Bombay,Antonov AN-12,54,54,0,15.3389974,38.9326725,18.9523804,72.8327112,44.436139,26.1027436
10/6/1986, Cairo, Egypt,EgyptAir,Buckley ANGB,Cartagena,Fokker F-27 Friendship 500,26,23,0,30.0488185,31.2436663,10.4236044,-75.524172,39.7078055,-104.758286
2/4/1986, Athens, Greece,Trans World Airlines,Paris,San Carlos de Bariloche,Boeing B-727,121,4,0,33.9595974,-83.376678,-41.1334672,-71.3099936,48.8565056,2.3521334
2/3/1986, Bugulma, Russia,Aeroflot,Training,Copenhagen,Antonov AN-24B,38,38,0,54.5384152,52.7955953,55.6867243,12.5700724,37.74919975,-122.399688
3/28/1985, Florencia, Colombia,SATENA,Hue,Moscow,Fokker F-28 Fellowship 3000,46,46,0,43.7698712,11.2555757,55.7516335,37.6187042,47.1817585,19.5060937
12/22/1984, Bhojpur, Nepal,Royal Nepal Airlines,Port Harcourt,Buffalo,de Havilland Canada DHC-6 Twin Otter 300,23,15,0,25.4578977,84.55573242,42.8864468,-78.8783689,4.7676576,7.0188527
10/31/1984, Davao, Philippines,Village Airways,Huambo,Innsbruck,Douglas C-47B,4,4,0,6.610975,125.4298652,47.2654296,11.3927685,-12.7765392,15.7320468
3/31/1984,  Bimini,,State Airlines,Ft. Lauderdale,Bimini,Cessna 402B,6,6,0,23.69106245,-79.9433551,23.69106245,-79.9433551,26.1223084,-80.1433786
11/28/1983, Enugu, Nigeria,Nigeria Airways,Tripoli,Nyala,Fokker F-28 Fellowship 2000,72,53,0,6.4499833,7.5000007,12.0505098,24.8795115,32.896672,13.1777923
11/7/1983, Cuenca, Ecuador,TAME,Guadalajara,KÃƒ_ÃƒÃ_ln,Boeing B-737-2V2,119,119,0,40.0681156,-2.1348241,50.878866,7.119301,40.7399963,-2.505929926
8/30/1983, Alma-Ata, Kazakastan,Aeroflot,Rome,Arica,Tupolev TU-134A,90,90,0,43.2362314,76.9457599,-18.4784237,-70.3211626,41.8933439,12.4830718
8/27/1983, Dundo, Angola,Transamerica Airlines,Donetsk,Cap Skiring,Lockheed L-100-30 Hercules,7,7,0,-7.3749148,20.8337256,12.39821835,-16.75089279,48.0158753,37.8013407
7/26/1983, Ambone, Indonesia,Bali International Air Service,Los Angeles,Karachi,Cessna 404 Titan,11,7,0,42.0162191,12.8739954,24.8667795,67.0311286,34.053717,-118.2427266
9/5/1982, Aden, Yemen,Alyemda,Bauru,Tunis,de Havilland Canada DHC-7-103,49,47,0,12.8331607,44.9166065,33.8439408,9.400138,-22.3218102,-49.0705863
8/20/1982, Castries, Saint Lucia,Inter Island Air Services,Amman,East London,Britten-Norman BN-2A Islander,10,10,0,14.0095719,-60.9903195,-33.0191604,27.8998573,31.6586023,36.32185378
4/13/1982, Erzurum, Turkey,Military - U.S. Air Force,Athens,Mazar i sharif,Lockheed C-130H,27,27,0,39.7581897,41.4032241,36.7113366,67.1087511,37.9841493,23.7279843
1/14/1982, Addis Ababa, Ethiopia,Military - Ethiopian Air Force,Lvov,Algiers,Antonov AN-26,73,73,0,9,38.75,28.0000272,2.9999825,49.8419505,24.0315968
12/18/1981, Covenas, Colombia,ACES Colombia,Albany,Santaigo,de Havilland Canada DHC-6 Twin Otter 300,13,13,0,9.41146205,-75.63978919,28.8764463,-81.3090669,42.6511674,-73.754968
6/5/1981, Fredrick, Maryland,Military - U.S. Air Force,Lusaka,La Macarena,Boeing EC-135N,21,21,0,34.274179,-87.7109099,37.6357664,-6.0295265,-15.4166967,28.2813812
12/11/1980, Cairo, Egypt,Military - U.S. Air Force,London,Arauca,Lockheed C-141A,13,13,0,30.0488185,31.2436663,6.6666755,-71.0000086,51.5073219,-0.1276474
12/6/1980, Dushanbe, Russia,Aeroflot,Colombo,Main AB,Yakovlev YAK-40,29,29,0,38.5346847,68.7801624,49.731352,-113.2644766,6.934287,79.8532704
